""	"lethalityCelltype1"	"lethalityCelltype2"	"effectSize"	"nexons"	"p0"	"lfdr"	"postProb"	"BayesFactor"
"RHOV"	-0.756706874253944	-0.0115799664493262	0.745126907804617	6	0.915654909484951	0.98319516944339	0.98319516944339	0.0921144960195682
"SCIN"	-0.730686979754272	-0.139991315792857	0.590695663961415	5	0.915766752445801	0.983219094248948	0.983219094248948	0.0919811156380505
"KRBA2"	-0.319101650810272	0.368812165286176	0.687913816096449	6	0.915799309421759	0.983226057771401	0.983226057771401	0.0919422953391456
"ANKFY1"	0.768841875941638	-0.877169847517861	-1.6460117234595	5	0.915836522619784	0.983234016714871	0.983234016714871	0.0918979264328352
"PRSS36"	-0.858230052518592	-0.0680307368947685	0.790199315623824	6	0.91589204734389	0.983245891058681	0.983245891058681	0.0918317315889197
"OR5P3"	0.454624757476777	1.12572814922824	0.671103391751465	4	0.915962944394357	0.9832610512043	0.9832610512043	0.0917472220027518
"SCARB1"	-0.693891790424995	0.572023680718846	1.26591547114384	6	0.91602593409065	0.983274518918232	0.983274518918232	0.0916721489907506
"CDH11"	-0.859019181805329	-0.136917826599863	0.722101355205467	6	0.916131542328345	0.983297095498169	0.983297095498169	0.0915463050846427
"COBLL1"	-6.04466586373301	-4.67631319721064	1.36835266652236	6	0.916173747202677	0.983306116750921	0.983306116750921	0.0914960214187175
"PSMB8"	-0.509315423305611	0.029321013247893	0.538636436553504	6	0.916179832861965	0.983307417500041	0.983307417500041	0.0914887712341334
"PSMB1"	0.686039422430343	2.31095605400798	1.62491663157763	5	0.916182650541233	0.983308019746262	0.983308019746262	0.0914854144086352
"CPT1B"	0.137088454193002	0.890694673391514	0.753606219198512	6	0.916203747116095	0.983312528799877	0.983312528799877	0.0914602817852114
"FAM206A"	1.38841557572215	-0.130740042087125	-1.51915561780927	4	0.916225574961073	0.983317193975677	0.983317193975677	0.0914342792084647
"ITGB8"	0.638038639629722	1.3273886793458	0.689350039716075	6	0.916335899872357	0.983340770543119	0.983340770543119	0.0913028728213067
"IGSF21"	-0.0604399865442373	-0.982083154617	-0.921643168072762	6	0.916355434670362	0.983344944679361	0.983344944679361	0.0912796085066355
"ABCG5"	-0.77595738146691	0.0306744069768656	0.806631788443775	6	0.91636292693661	0.983346545566218	0.983346545566218	0.0912706861057639
"CD5L"	1.20519449621765	-0.333848007366785	-1.53904250358443	6	0.916378637471489	0.983349902398174	0.983349902398174	0.0912519771949755
"OR51Q1"	-0.0853373930149547	-0.109002390224038	-0.0236649972090832	5	0.916423365788858	0.983359458884674	0.983359458884674	0.0911987159332178
"TMEM229B"	0.117884968985369	0.924808815702866	0.806923846717497	4	0.916432560707097	0.983361423344243	0.983361423344243	0.0911877675193304
"OAS3"	0.299172997808014	0.958925996546189	0.659752998738175	6	0.916436007847859	0.983362159804717	0.983362159804717	0.0911836630561704
"KRT26"	0.0657400527763951	0.615811466891313	0.550071414114918	6	0.916475441823735	0.983370584316005	0.983370584316005	0.0911367117596258
"HNRNPUL1"	0.438166745086288	1.18066005213792	0.74249330705163	6	0.91655195338715	0.983386928273438	0.983386928273438	0.091045626278429
"IFITM10"	-4.97314883498912	-5.5957569045814	-0.622608069592278	6	0.916610126091861	0.983399353327566	0.983399353327566	0.0909763830165042
"C4BPB"	-0.570798679587541	-1.46074652173582	-0.889947842148274	4	0.916726087111312	0.983424117566086	0.983424117566086	0.0908383802528099
"HERC6"	0.532694898951595	1.81562310401881	1.28292820506721	6	0.916758828978928	0.983431108898876	0.983431108898876	0.0907994211670535
"NPAT"	2.02567131768406	1.33055009487022	-0.695121222813834	6	0.91678087756032	0.98343581668137	0.98343581668137	0.0907731874394435
"UBE2L6"	1.30464914613667	0.4950770249415	-0.809572121195173	5	0.916812985962531	0.983442672098473	0.983442672098473	0.090734986645214
"IL23R"	-2.99467078406627	-1.95739359365344	1.03727719041283	3	0.91688589779062	0.983458237966019	0.983458237966019	0.0906482501363104
"BPIFB2"	1.26748301166791	0.801567847436507	-0.465915164231404	6	0.916931033842778	0.983467873019443	0.983467873019443	0.0905945628310646
"LRRC36"	-0.0574420231769495	-0.877440486336744	-0.819998463159794	6	0.91693228412967	0.983468139903504	0.983468139903504	0.0905930757462377
"ZNF662"	0.465556076463931	1.1723266093519	0.706770532887973	3	0.916958122276274	0.983473655138726	0.983473655138726	0.090562344894859
"C4orf51"	0.122487623952835	0.890417037355417	0.767929413402582	4	0.916969086828171	0.983475995482238	0.983475995482238	0.0905493046216377
"AFF3"	1.19798690868168	0.450538722423821	-0.747448186257857	6	0.916984540971855	0.983479294036579	0.983479294036579	0.090530925352528
"ALG14"	1.51767328496092	1.08210579998315	-0.435567484977775	5	0.917082285303783	0.983500154662663	0.983500154662663	0.0904146945426499
"RAD54L2"	0.438355283407644	-0.280512994919662	-0.718868278327306	6	0.917108945719186	0.983505843918667	0.983505843918667	0.0903829961181026
