"lethalityCelltype1"	"lethalityCelltype2"	"effectSize"	"nexons"	"p0"	"lfdr"	"postProb"	"BayesFactor"
"C6orf223"	-12.6166804803379	-2.13682068614782	10.4798597941901	4	7.10647501120662e-07	0.0020480250938598	4.11793342985152e-06	1407166.40496947
"SNX13"	-0.679661415587463	-9.65865251293744	-8.97899109734998	4	8.2984713954298e-06	0.00299258545855223	4.80847530504688e-05	120503.120861431
"DCHS1"	0.0323592617270776	6.41725741980564	6.38489815807856	5	0.000745191002540485	0.00438101227573267	0.00430274129957059	1340.93783418054
"HAVCR2"	0.44388222523376	7.07047811285057	6.62659588761681	6	2.61650017353579e-06	0.00601576359060579	1.51614901358231e-05	382188.923056132
"COMMD6"	0.0591110399852931	8.60254996708608	8.54343892710079	3	0.00116436392128331	0.00722364404819711	0.00670961362186615	857.838015951103
"MGME1"	-0.609297657568919	13.4007118713546	14.0100095289235	3	0.00125584947300256	0.0072401200658438	0.00723364113155213	795.273774443
"GDI1"	0.617117491870851	-4.2652970342851	-4.88241452615595	6	0.000579691750377405	0.0106130262051678	0.00334979537206071	1724.05473702007
"FCRL5"	0.676443204952216	6.11835726641939	5.44191406146717	6	0.00219925618575762	0.0126252052292352	0.0126109233285666	453.699187150636
"MUSTN1"	0.315824219335262	5.64415895839269	5.32833473905743	5	0.00241829719796569	0.0156774009020595	0.0138525467130949	412.514104404213
"TMEM61"	0.52585503140169	-8.44054732434169	-8.96640235574338	5	3.6557086766689e-10	0.0159808469129352	2.11835209618009e-09	2735447728.68946
"KRT33A"	1.20988148196038	-6.38890923673652	-7.5987907186969	3	0.0024861171696531	0.0164606475974282	0.0142364584220572	401.233656646013
"KLHL38"	0.421419037147879	6.26967099639446	5.84825195924658	6	1.44258357362672e-05	0.0186168110165374	8.35867641762322e-05	69319.0739480176
"CTGF"	-37.5313207518307	-31.2407236532914	6.29059709853929	6	0.00351298020838526	0.0200192679784974	0.0200192665755594	283.658592044744
"THOP1"	0.324162760479857	11.7835253887388	11.4593626282589	5	4.8678628264604e-12	0.0211067224331385	2.82075196691534e-11	205428960438.121
"COL1A2"	0.950984899844858	-3.55718476538895	-4.5081696652338	6	0.00367246456253402	0.023902156085427	0.0209123868879286	271.296705106936
"PGM3"	-1.15221731457306	-7.09856348703413	-5.94634617246107	6	0.00498299387811359	0.0282008998768522	0.0282008963531206	199.682566437061
"ISX"	0.486019413432819	6.86050009850118	6.37448068506836	6	0.00567062524250569	0.031989490135366	0.0319894901101892	175.347396845101
"RSPH9"	-39.9916167536637	-32.7038604446532	7.28775630901045	6	0.00624028668729004	0.0351097425590516	0.0351097425590516	159.249047858131
"PAG1"	0.516021319661977	-4.13502656993878	-4.65104788960076	6	0.00890385623003195	0.0495772478348412	0.0494822188920138	111.310888020304
"RFNG"	0.573852247891185	-1.82851513226948	-2.40236738016067	5	0.00373668018240686	0.0543918610814522	0.0212716186360832	266.617230050414
"ABHD14B"	-0.54266762999864	8.10258603447875	8.64525366447739	6	0.00994778882441041	0.0550196478265698	0.0550196478265698	99.5248520702558
"ZFP69B"	0.418517759593427	-3.75221779409649	-4.17073555368991	6	0.00175117137861439	0.0586964512914003	0.0100629195667933	570.046336305044
"ZAN"	-0.404498090942054	-6.26900507183588	-5.86450698089383	6	3.75782193371962e-06	0.06623454644441	2.17748383838847e-05	266110.598058125
"WNT2B"	0.5918787051628	-4.38162128567305	-4.97349999083585	6	0.0122238873304459	0.0669132914908297	0.0669114220840763	80.8070367443025
"IL15RA"	-0.834150892055018	3.68371650756976	4.51786739962477	6	0.000436038520599801	0.069113868944132	0.00252141548876246	2292.3753619392
"PARK7"	-20.6730088654768	-14.1314110279297	6.54159783754706	3	0.00207757035574882	0.0715687811871007	0.0119200373480281	480.331473195559
"PDHA2"	0.545553338600716	-6.57982470740493	-7.12537804600564	4	0.0132053462856645	0.0719639511212738	0.0719638620759331	74.7269047223385
"C20orf112"	0.640080769893644	-4.74228462550469	-5.38236539539833	6	0.0135084593945803	0.073515250251412	0.0735152282119707	73.0276867102406
"SNX29"	0.653755710551884	-3.88175967621382	-4.5355153867657	6	0.0137701822040434	0.0749241065955057	0.0748513512476578	71.6206803353966
"MVP"	-0.551283056206545	-6.64572417588822	-6.09444111968168	6	0.0153529985140822	0.0828652355472795	0.0828652355472795	64.1338563657627
"GRM8"	-3.26276175663404	-9.65314813906279	-6.39038638242875	5	0.0156432184010841	0.0843223602754913	0.0843223591800058	62.9254643360792
"CLIC1"	0.666229395468275	-4.82266448742477	-5.48889388289304	4	0.0155572324935623	0.0845320923025979	0.0838910382049156	63.2787848297444
"RPL3L"	-1.44692031175191	5.31792686914655	6.76484718089845	6	0.0159516088891485	0.0858665847633518	0.0858665847633518	61.6896012151022
"C7orf43"	-2.11845359715513	3.95165768820114	6.07011128535628	6	0.0160079211803779	0.0861481033738722	0.0861481033738722	61.4690732001963
"SIAE"	0.0134724258261517	3.94917631275359	3.93570388692744	6	0.00319938831276397	0.0908376529686267	0.0182592132406437	311.559746502323
"RBM42"	-1.11227410962493	-5.05224040101993	-3.939966291395	6	0.0178778351639142	0.0987423087102971	0.0954167313508339	54.9351840327103
"HSD17B11"	-6.89086509400825	58.6498804970142	65.5407455910225	3	0.0187657316629315	0.0997643899230892	0.0997643899230892	52.2886230050561
"GFOD1"	-1.23048937934137	2.04761942946568	3.27810880880705	6	0.000152159657199708	0.100736637778026	0.000881067871515789	6571.04424880839
"KATNAL2"	0.277211053466613	4.58898547204159	4.31177441857498	6	0.020982837049276	0.110683482791801	0.110473782372255	46.6579977079175
"DERL1"	0.765011487418133	4.81533519231195	4.05032370489382	6	0.0220225095572176	0.115983480246257	0.115424834048095	44.4080856408238
"TEX15"	0.667849037128906	-5.55951271219924	-6.22736174932814	5	0.0223298064538792	0.116879685181072	0.11687968374199	43.7831915635022
"AES"	-2.56846966607178	4.08690113471094	6.65537080078272	6	0.0255984794839787	0.132118389448379	0.132118389448379	38.0648202611358
"SENP8"	0.375779532065362	-5.48209164580939	-5.85787117787475	4	0.000265848525334338	0.133121871448984	0.00153853579016908	3760.54051914478
"SHANK2"	-5.16981704006662	0.27417793227804	5.44399497234466	6	8.96260249303767e-06	0.134314014589651	5.19328361553334e-05	111573.735215226
"SH3TC2"	0.374326522611234	-3.7800105761926	-4.15433709880384	6	0.0276312084835296	0.141529291441475	0.141382364507384	35.1909614122047
