"lethalityCelltype1"	"lethalityCelltype2"	"effectSize"	"nexons"	"p0"	"lfdr"	"postProb"	"BayesFactor"
"PAFAH2"	1.59739643102928	1.17011012337371	-0.427286307655572	6	5.01111299062553e-05	0.00678702798431683	0.000261721196510013	19954.6466172432
"IRS4"	-2.55854153982156	-1.28571632717757	1.27282521264399	6	0.000274841296149596	0.00777379757463746	0.00143408443339677	3637.46341146529
"DEPDC4"	-3.05809772666922	-0.892750917905182	2.16534680876404	3	0.00150544716275686	0.00782012649938648	0.00781464487963371	663.254465210685
"IL15RA"	0.114848406670233	-0.337310823203455	-0.452159229873688	6	0.0015868732077674	0.0083418413551274	0.00823450611789026	629.170069735387
"SH3TC2"	1.42322359162672	0.623148606436194	-0.800074985190529	6	0.00187915550681532	0.0105111216703665	0.00973925587307734	531.153936368331
"ACN9"	-30.925523181532	-27.3242068858358	3.60131629569625	3	0.00208364448179042	0.0107898316635706	0.0107898316527418	478.928322100671
"CNNM3"	-1.31951397145118	-1.11009620182694	0.209417769624244	6	0.00272715512712014	0.0156155744843807	0.0140842034817373	365.682478035634
"ZNF416"	0.646693572736629	0.204173381884156	-0.442520190852474	6	0.00281449198421576	0.0161552363167855	0.0145299495074884	354.303907635269
"PDHA2"	-1.97230142001474	-0.162274911205943	1.81002650880879	4	0.00348570172855042	0.0179448236145702	0.0179448236054881	285.886279399432
"TMEM61"	-0.643655527557669	0.340639328283252	0.984294855840921	5	0.00362704311870836	0.0186614870324711	0.0186614870324711	274.706675457477
"CXXC11"	-0.876272412041152	0.165528303472856	1.04180071551401	4	0.000792874164035892	0.023230860768715	0.00412808703374576	1260.23418489233
"MGME1"	-7.71522673483573	-3.11027656002935	4.60495017480638	3	0.00522863496964625	0.0267237733851929	0.0267237733851929	190.254506349227
"PLCG1"	-31.0705821051414	-32.6769652982465	-1.60638319310508	6	0.00525806572897306	0.0268709270036107	0.0268709270036107	189.18400521123
"MUSTN1"	1.61085837921142	0.256874063801343	-1.35398431541008	5	0.00528280040345435	0.0269945725485792	0.0269945725485792	188.293541990743
"ZNF438"	0.257167695158405	-0.728577446469902	-0.985745141628307	6	0.00576443414102324	0.0293971722072056	0.0293971722072056	172.477565279719
"OTUD5"	0.335404995444945	0.644547488846883	0.309142493401937	6	0.00714289345521655	0.0362211860481115	0.0362210854848487	138.999288281374
"BZW1"	-3.18746606374141	-2.41675528909337	0.770710774648032	4	0.00739114369419346	0.0374427410667337	0.0374418328676033	134.297058395118
"RABAC1"	1.27783866544019	0.850414970079729	-0.42742369536046	6	0.00171051516320072	0.0411661074115464	0.00887149912107397	583.619196317908
"TRIM67"	-22.9494608922701	-23.577288795911	-0.627827903640948	6	0.00815458108639426	0.0412006111637336	0.0411804566799749	121.630456353972
"KIAA1456"	-37.1390812986841	-36.8758243205065	0.263256978177646	6	9.78650286661232e-10	0.0455185819306652	5.11239195825912e-09	1021815466.31224
"CYB561D1"	-19.2609554887452	-18.9833844096736	0.277571079071575	4	0.00668031824319696	0.0458394206028727	0.0339397728413288	148.693467226411
"RBM41"	1.59905121578049	0.3821356632741	-1.21691555250639	6	0.00886603979963569	0.0469762227584875	0.0446436143084147	111.789929055032
"CHKB"	0.837066275710188	-0.283041209980473	-1.12010748569066	6	0.00974868600861694	0.0489122734886305	0.0489122734886305	101.577926821737
"FKBP6"	-1.46163253084064	-0.105568234030589	1.35606429681005	6	0.00974715833537677	0.0498011468272987	0.0489049117553296	101.594003871934
"PAH"	-1.89793855629393	-0.896295195083579	1.00164336121035	6	0.0102756237308463	0.0514461112202087	0.0514461112202087	96.3176934260551
"SDK1"	-1.14881358205606	-0.360447755676014	0.788365826380044	6	0.0108282103299781	0.0541168360647601	0.0540916980675268	91.3513645862123
"CBLN1"	0.269722225091946	0.188136509940113	-0.0815857151518337	6	0.0108038140117377	0.055171185282034	0.0539751464419708	91.5599051329057
"C7orf43"	-1.47184998508416	-1.45429414407959	0.017555841004569	6	0.0117719452104828	0.0585827586015477	0.0585827585926884	83.9477280194534
"ZNF512"	2.11105760222238	0.860272690857454	-1.25078491136493	6	0.0117146436409911	0.0589791711446541	0.0583110438391141	84.3632454085811
"ESRRB"	-5.89436955339	-2.99980806519432	2.89456148819568	6	0.0125074954114742	0.0620595238939137	0.0620595238939137	78.9520581140979
"ECT2L"	-0.593537092159312	-0.0275450794348151	0.565992012724497	6	0.0126990401224333	0.0629615437697825	0.0629615437697825	77.7461091829659
"VSTM2L"	-2.91511964011215	-2.14071183538142	0.774407804730722	6	0.0139629334469606	0.068879384999058	0.0688789014218674	70.6181885274025
"C6orf223"	-11.2306024247374	-11.8754524802024	-0.644850055465011	4	0.0147421181403705	0.0724972901812309	0.0724972901812309	66.832857563497
"SPAG6"	-3.38664396875827	-0.768547590826455	2.61809637793182	6	0.0147937072880092	0.0727360693458686	0.0727360693458686	66.5963083851561
"SNX29"	-0.653999322642985	0.0248406329444276	0.678839955587412	6	0.0151022950421866	0.0741623592827318	0.0741623179154327	65.2151015595051
"PAG1"	0.142905205317398	0.589959454323344	0.447054249005946	6	0.0153681696125935	0.0753883522559731	0.0753883522559731	64.0695577422928
"CLDN7"	-27.3787032405401	-27.3291184630303	0.0495847775098452	5	6.81227708103848e-07	0.0888626812914937	3.55866962615312e-06	1467936.94219474
"OR52H1"	-4.74792241445463	-3.83943634393087	0.908486070523762	5	0.01873279719553	0.0907260108890122	0.0906832651274833	52.3823106908251
"PIGR"	-0.835568554656844	-0.43103451090682	0.404534043750025	6	0.0188401884039587	0.0911903706944838	0.0911648120694023	52.0780254718621
"NCF4"	-14.7313043926789	-14.1476219024467	0.583682490232154	6	0.0209096075373074	0.102654643446718	0.100365782524392	46.8249052841274
"MLIP"	-4.57712044355806	-4.04086290781373	0.536257535744332	6	0.0216933301899492	0.103811871138345	0.103811870544873	45.0971179272103
"ZNF180"	-0.353865674331216	0.314181269374527	0.668046943705743	6	0.0229868586506182	0.109454228219936	0.109454125019269	42.5031169416926
"INPP5A"	0.0963625884380831	0.247898687380479	0.151536098942396	4	0.00240768483992389	0.115924546316523	0.0124509315092673	414.336751479322
"ZNF672"	-5.1615696709219	-2.50292946968524	2.65864020123666	6	0.0263544017361517	0.123882817005697	0.123882817005697	36.9443255821758
"MVP"	-2.97229076660754	-1.36894381618198	1.60334695042556	6	0.0266641438886585	0.125191421878538	0.125191421878538	36.5035479922289
"CA12"	-2.71177418209291	-1.5197410794503	1.19203310264261	6	0.00192283215499384	0.131938466642483	0.00996379876504139	519.066193714763
"THOP1"	-4.15395316724633	-1.57388710942993	2.5800660578164	5	0.0283232357402679	0.132148723743495	0.132148723743495	34.3067004480097
"SLC26A11"	14.3735455420254	10.022291358888	-4.35125418313736	6	0.0310346865629914	0.143333451466527	0.143333451466527	31.2220106193208
"AMPH"	1.06833682828182	0.516327811320081	-0.552009016961737	6	0.0278725904844849	0.1453347582578	0.130267599978303	34.877540717166
"FNDC3B"	-1.53964908885826	-0.2098947816858	1.32975430717246	6	0.0325106596786197	0.1493272420876	0.14932715178615	29.7591420747958
"SLC5A12"	-1.51210419379319	-1.23008224161341	0.282021952179782	6	0.0329307115195781	0.151020925102716	0.151020925102716	29.3667899615675
"TMEM91"	-1.19360420679794	-0.74541575633146	0.448188450466478	5	0.0333669137566707	0.15277424690802	0.152774245936016	28.9698080347656
"AP3B1"	-11.6870250826412	-2.88780863328997	8.79921644935121	5	0.0333887281130648	0.152861780371402	0.152861780371402	28.9502274124873
"KAZN"	-0.35188014207985	0.279437362569707	0.631317504649558	6	0.0338363801187164	0.154674089122608	0.154654956309941	28.5539888277486
"KIF26B"	-0.923906689138858	-1.14628132402584	-0.222374634886979	6	0.0366363793502767	0.165737789177722	0.165737774205405	26.2952736524289
"MMRN2"	0.812815114382491	0.223867413624089	-0.588947700758402	6	0.0367326787276176	0.166306127842956	0.166114904845398	26.2237156297601
"STXBP2"	-16.6556677398694	-15.4817899762093	1.17387776366003	6	0.035615863144107	0.173177504402737	0.161724808797789	27.0773765317396
"AMBP"	-0.794596102595735	-0.0752255929558234	0.719370509639911	6	0.000418784776412747	0.177398134005065	0.00218383565429946	2386.86139402168
"XYLT2"	1.02155831356154	0.601597437912631	-0.419960875648906	6	0.0186190020845991	0.189457504452837	0.0901725608366009	52.7085712465309
"MRC2"	-20.317841373403	-18.5660491734396	1.75179219996338	6	0.0441362569803358	0.194334856060727	0.194334856060727	21.6571093340682
"C1QA"	2.04416644256452	-0.964342510031976	-3.00850895259649	6	0.0449071343000388	0.197187902095046	0.197187902095046	21.2681766625027
"OLIG1"	-1.2194072949563	-0.549677918082344	0.669729376873957	6	0.0455091626315642	0.201704105709761	0.199405193935413	20.9735970115702
